feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum
1,inst-178-123,model,0,0,11.82,0,0,67.7147,0,870613,yes,../wrapper.py 178 178 123 random -n_templates_middle 30 -n_templates_delta 7 -n_slots_middle 39 -n_slots_delta 8 -n_variations_middle 43 -n_variations_delta 14 -demand_range_middle 21 -demand_range_delta 24,6ea373a700baced546f65b92b749f9b2
1,inst-179-123,model,0,0,10.39,0,0,45.5183,0,667482,yes,../wrapper.py 179 179 123 random -n_templates_middle 24 -n_templates_delta 2 -n_slots_middle 24 -n_slots_delta 24 -n_variations_middle 47 -n_variations_delta 10 -demand_range_middle 44 -demand_range_delta 7,2ea1f6546aee70aaddd7aa6deac76326
1,inst-180-123,model,0,0,12.861,0,0,157.922,0,1647915,yes,../wrapper.py 180 180 123 random -n_templates_middle 40 -n_templates_delta 20 -n_slots_middle 20 -n_slots_delta 9 -n_variations_middle 33 -n_variations_delta 21 -demand_range_middle 33 -demand_range_delta 13,2a16da89fa70ced65a72d493cf0430b4
1,inst-182-123,model,0,0,8.842,0,0,50.1495,0,749767,yes,../wrapper.py 182 182 123 random -n_templates_middle 26 -n_templates_delta 6 -n_slots_middle 30 -n_slots_delta 18 -n_variations_middle 36 -n_variations_delta 2 -demand_range_middle 29 -demand_range_delta 20,8943b815f93c7e77d7acd56e1e7b8790
1,inst-185-123,model,0,0,10.806,0,0,79.2206,0,1055964,yes,../wrapper.py 185 185 123 random -n_templates_middle 37 -n_templates_delta 9 -n_slots_middle 24 -n_slots_delta 18 -n_variations_middle 24 -n_variations_delta 24 -demand_range_middle 43 -demand_range_delta 21,5bd8256479d9a062e8f45c911f3be57c
1,inst-186-123,model,0,0,18.09,0,0,183.108,0,1680243,yes,../wrapper.py 186 186 123 random -n_templates_middle 39 -n_templates_delta 2 -n_slots_middle 42 -n_slots_delta 20 -n_variations_middle 50 -n_variations_delta 1 -demand_range_middle 38 -demand_range_delta 10,0994710603b1497147c1c30d4719959f
1,inst-188-123,model,0,0,12.84,0,0,155.383,0,1363864,yes,../wrapper.py 188 188 123 random -n_templates_middle 50 -n_templates_delta 5 -n_slots_middle 33 -n_slots_delta 10 -n_variations_middle 47 -n_variations_delta 24 -demand_range_middle 23 -demand_range_delta 5,5fc3940d83b0349fef29498eacb2f5ca
1,inst-189-123,model,0,0,10.32,0,0,45.463,0,770354,yes,../wrapper.py 189 189 123 random -n_templates_middle 35 -n_templates_delta 13 -n_slots_middle 30 -n_slots_delta 10 -n_variations_middle 22 -n_variations_delta 14 -demand_range_middle 23 -demand_range_delta 24,1f8ec457aa34f5e8a5b4477e4c2d2c59
1,inst-19-123,model,0,0,7.857,0,0,56.9842,0,1015703,yes,../wrapper.py 19 19 123 random -n_templates_middle 43 -n_templates_delta 5 -n_slots_middle 12 -n_slots_delta 1 -n_variations_middle 13 -n_variations_delta 18 -demand_range_middle 43 -demand_range_delta 12,390724833c66098a0bd1ffeb0d7aa8ca
1,inst-191-123,model,0,0,11.771,0,0,26.8378,0,300270,yes,../wrapper.py 191 191 123 random -n_templates_middle 36 -n_templates_delta 0 -n_slots_middle 37 -n_slots_delta 10 -n_variations_middle 37 -n_variations_delta 0 -demand_range_middle 2 -demand_range_delta 10,24521f846632f5867610fb2210c53668
1,inst-192-123,model,0,0,11.91,0,0,57.2668,0,645800,yes,../wrapper.py 192 192 123 random -n_templates_middle 33 -n_templates_delta 5 -n_slots_middle 42 -n_slots_delta 17 -n_variations_middle 45 -n_variations_delta 10 -demand_range_middle 20 -demand_range_delta 6,f2ad6b7a399818e70f8b5cbf28505211
1,inst-195-123,model,0,0,8.759,0,0,40.7905,0,637671,yes,../wrapper.py 195 195 123 random -n_templates_middle 25 -n_templates_delta 9 -n_slots_middle 20 -n_slots_delta 7 -n_variations_middle 35 -n_variations_delta 7 -demand_range_middle 19 -demand_range_delta 25,4496f91d952b715ab7a9df0cda24bd09
1,inst-196-123,model,0,0,9.92,0,0,46.3123,0,685855,yes,../wrapper.py 196 196 123 random -n_templates_middle 40 -n_templates_delta 7 -n_slots_middle 41 -n_slots_delta 5 -n_variations_middle 26 -n_variations_delta 4 -demand_range_middle 6 -demand_range_delta 23,a5c6791044eabce4767cba7da2e65416
1,inst-199-123,model,0,0,8.892,0,0,79.884,0,1224023,yes,../wrapper.py 199 199 123 random -n_templates_middle 41 -n_templates_delta 15 -n_slots_middle 32 -n_slots_delta 9 -n_variations_middle 22 -n_variations_delta 8 -demand_range_middle 40 -demand_range_delta 23,c4f433c485a529da2253137c0648579d
1,inst-2-123,model,0,0,8.812,0,0,17.7772,0,339760,yes,../wrapper.py 2 2 123 random -n_templates_middle 28 -n_templates_delta 11 -n_slots_middle 48 -n_slots_delta 11 -n_variations_middle 34 -n_variations_delta 14 -demand_range_middle 5 -demand_range_delta 23,b28bab5ff9ddda1cc86dc712a8a700e4
