"feasible","instance","model","seed","SRTimeOut","SRTime","solverMemOut","solverTimeOut","solverTime","solverNodeOut","nNodes","sat","cmd","md5checksum","type","configurationId","configurationSeed","iteration","runId"
0,"inst-27-137027669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 27 1 137027669 tuning -numNodes_middle 2 -numNodes_delta 24 -numLeaves_middle 38 -numLeaves_delta 6 -numPeriods_middle 34 -numPeriods_delta 8 -maxStock_middle 48 -maxStock_delta 8 -holdingCost_range_middle 1 -holdingCost_range_delta 9 -procCost_range_middle 19 -procCost_range_delta 9 -demand_range_middle 48 -demand_range_delta 9 -children_range_cardMiddle 27 -children_range_cardDelta 3 -children_range_inner_middle 46 -children_range_inner_delta 6","inst-27-137027669","no instance",27,137027669,1,27
1,"inst-1-720453903","model",0,0,2.148,0,0,0.006419,0,0,"no","../wrapper.py 1 1 720453903 tuning -numNodes_middle 41 -numNodes_delta 1 -numLeaves_middle 19 -numLeaves_delta 11 -numPeriods_middle 8 -numPeriods_delta 14 -maxStock_middle 49 -maxStock_delta 24 -holdingCost_range_middle 8 -holdingCost_range_delta 14 -procCost_range_middle 19 -procCost_range_delta 17 -demand_range_middle 13 -demand_range_delta 12 -children_range_cardMiddle 8 -children_range_cardDelta 1 -children_range_inner_middle 37 -children_range_inner_delta 12","c916cec673ef08d3f2018c69f70cba68","unsat + too easy",1,720453903,1,28
0,"inst-2-720453903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 2 1 720453903 tuning -numNodes_middle 4 -numNodes_delta 19 -numLeaves_middle 21 -numLeaves_delta 24 -numPeriods_middle 15 -numPeriods_delta 21 -maxStock_middle 5 -maxStock_delta 22 -holdingCost_range_middle 24 -holdingCost_range_delta 2 -procCost_range_middle 16 -procCost_range_delta 21 -demand_range_middle 14 -demand_range_delta 15 -children_range_cardMiddle 42 -children_range_cardDelta 0 -children_range_inner_middle 36 -children_range_inner_delta 17","inst-2-720453903","no instance",2,720453903,1,29
0,"inst-3-720453903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 3 1 720453903 tuning -numNodes_middle 24 -numNodes_delta 10 -numLeaves_middle 29 -numLeaves_delta 23 -numPeriods_middle 12 -numPeriods_delta 5 -maxStock_middle 22 -maxStock_delta 8 -holdingCost_range_middle 44 -holdingCost_range_delta 4 -procCost_range_middle 25 -procCost_range_delta 11 -demand_range_middle 28 -demand_range_delta 17 -children_range_cardMiddle 49 -children_range_cardDelta 0 -children_range_inner_middle 13 -children_range_inner_delta 19","inst-3-720453903","no instance",3,720453903,1,30
1,"inst-4-720453903","model",0,0,2.047,0,0,0.005393,0,0,"no","../wrapper.py 4 1 720453903 tuning -numNodes_middle 42 -numNodes_delta 2 -numLeaves_middle 49 -numLeaves_delta 3 -numPeriods_middle 8 -numPeriods_delta 23 -maxStock_middle 26 -maxStock_delta 3 -holdingCost_range_middle 17 -holdingCost_range_delta 17 -procCost_range_middle 15 -procCost_range_delta 9 -demand_range_middle 7 -demand_range_delta 17 -children_range_cardMiddle 9 -children_range_cardDelta 3 -children_range_inner_middle 45 -children_range_inner_delta 23","c005217d14261e04395b8d5b6a34343a","unsat + too easy",4,720453903,1,31
0,"inst-5-720453903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 5 1 720453903 tuning -numNodes_middle 37 -numNodes_delta 9 -numLeaves_middle 40 -numLeaves_delta 0 -numPeriods_middle 48 -numPeriods_delta 24 -maxStock_middle 18 -maxStock_delta 18 -holdingCost_range_middle 40 -holdingCost_range_delta 18 -procCost_range_middle 24 -procCost_range_delta 12 -demand_range_middle 15 -demand_range_delta 18 -children_range_cardMiddle 41 -children_range_cardDelta 1 -children_range_inner_middle 26 -children_range_inner_delta 16","inst-5-720453903","no instance",5,720453903,1,32
0,"inst-6-720453903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 6 1 720453903 tuning -numNodes_middle 8 -numNodes_delta 8 -numLeaves_middle 21 -numLeaves_delta 2 -numPeriods_middle 47 -numPeriods_delta 20 -maxStock_middle 44 -maxStock_delta 23 -holdingCost_range_middle 3 -holdingCost_range_delta 9 -procCost_range_middle 27 -procCost_range_delta 2 -demand_range_middle 40 -demand_range_delta 19 -children_range_cardMiddle 2 -children_range_cardDelta 1 -children_range_inner_middle 47 -children_range_inner_delta 1","inst-6-720453903","no instance",6,720453903,1,33
0,"inst-7-720453903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 7 1 720453903 tuning -numNodes_middle 15 -numNodes_delta 12 -numLeaves_middle 31 -numLeaves_delta 6 -numPeriods_middle 22 -numPeriods_delta 9 -maxStock_middle 48 -maxStock_delta 3 -holdingCost_range_middle 3 -holdingCost_range_delta 25 -procCost_range_middle 22 -procCost_range_delta 9 -demand_range_middle 7 -demand_range_delta 1 -children_range_cardMiddle 33 -children_range_cardDelta 2 -children_range_inner_middle 50 -children_range_inner_delta 15","inst-7-720453903","no instance",7,720453903,1,34
0,"inst-8-720453903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 8 1 720453903 tuning -numNodes_middle 4 -numNodes_delta 4 -numLeaves_middle 24 -numLeaves_delta 0 -numPeriods_middle 23 -numPeriods_delta 6 -maxStock_middle 47 -maxStock_delta 17 -holdingCost_range_middle 8 -holdingCost_range_delta 12 -procCost_range_middle 35 -procCost_range_delta 11 -demand_range_middle 48 -demand_range_delta 18 -children_range_cardMiddle 20 -children_range_cardDelta 0 -children_range_inner_middle 13 -children_range_inner_delta 21","inst-8-720453903","no instance",8,720453903,1,35
0,"inst-9-720453903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 9 1 720453903 tuning -numNodes_middle 22 -numNodes_delta 12 -numLeaves_middle 35 -numLeaves_delta 19 -numPeriods_middle 8 -numPeriods_delta 21 -maxStock_middle 48 -maxStock_delta 14 -holdingCost_range_middle 25 -holdingCost_range_delta 4 -procCost_range_middle 0 -procCost_range_delta 22 -demand_range_middle 6 -demand_range_delta 0 -children_range_cardMiddle 47 -children_range_cardDelta 1 -children_range_inner_middle 9 -children_range_inner_delta 9","inst-9-720453903","no instance",9,720453903,1,36
0,"inst-10-720453903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 10 1 720453903 tuning -numNodes_middle 23 -numNodes_delta 10 -numLeaves_middle 26 -numLeaves_delta 21 -numPeriods_middle 3 -numPeriods_delta 13 -maxStock_middle 35 -maxStock_delta 16 -holdingCost_range_middle 33 -holdingCost_range_delta 12 -procCost_range_middle 49 -procCost_range_delta 10 -demand_range_middle 43 -demand_range_delta 19 -children_range_cardMiddle 27 -children_range_cardDelta 3 -children_range_inner_middle 24 -children_range_inner_delta 0","inst-10-720453903","no instance",10,720453903,1,37
0,"inst-11-720453903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 11 1 720453903 tuning -numNodes_middle 37 -numNodes_delta 17 -numLeaves_middle 10 -numLeaves_delta 16 -numPeriods_middle 28 -numPeriods_delta 8 -maxStock_middle 32 -maxStock_delta 20 -holdingCost_range_middle 36 -holdingCost_range_delta 9 -procCost_range_middle 6 -procCost_range_delta 10 -demand_range_middle 47 -demand_range_delta 20 -children_range_cardMiddle 38 -children_range_cardDelta 3 -children_range_inner_middle 50 -children_range_inner_delta 15","inst-11-720453903","no instance",11,720453903,1,38
1,"inst-12-720453903","model",0,0,1.2,0,0,0.002405,0,0,"no","../wrapper.py 12 1 720453903 tuning -numNodes_middle 2 -numNodes_delta 8 -numLeaves_middle 14 -numLeaves_delta 2 -numPeriods_middle 3 -numPeriods_delta 9 -maxStock_middle 17 -maxStock_delta 4 -holdingCost_range_middle 31 -holdingCost_range_delta 10 -procCost_range_middle 48 -procCost_range_delta 16 -demand_range_middle 16 -demand_range_delta 5 -children_range_cardMiddle 5 -children_range_cardDelta 3 -children_range_inner_middle 19 -children_range_inner_delta 14","57b5f19290bce09bba3ff6252c1cc5fb","unsat + too easy",12,720453903,1,39
0,"inst-13-720453903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"../wrapper.py 13 1 720453903 tuning -numNodes_middle 37 -numNodes_delta 21 -numLeaves_middle 29 -numLeaves_delta 0 -numPeriods_middle 46 -numPeriods_delta 19 -maxStock_middle 20 -maxStock_delta 2 -holdingCost_range_middle 2 -holdingCost_range_delta 21 -procCost_range_middle 42 -procCost_range_delta 17 -demand_range_middle 6 -demand_range_delta 8 -children_range_cardMiddle 37 -children_range_cardDelta 3 -children_range_inner_middle 35 -children_range_inner_delta 6","inst-13-720453903","no instance",13,720453903,1,40
